delay_location|coordinates
DUNDAS AND RONCESVALLES|(43.6538732, -79.451805)
KING AND SHAW|(nan, nan)
KINGSTON ROAD AND BINGHAM|(43.68071519999999, -79.2850942)
KING ST. AND RONCESVALLES AVE.|(43.6387919, -79.4461334)
KING AND BATHURST|(43.64390350000001, -79.4026703)
QUEEN AND BEACONSFEILD|(43.6429955, -79.4247666)
RONCESVALLES AND KING STREET WEST|(43.6387919, -79.4461334)
SPADINA AND ST. ANDREWS|(43.6543785, -79.39873)
BROADVIEW AND QUEEN|(43.6729037, -79.3557688)
BATHURST AND ST. CLAIR|(43.6830782, -79.4182617)
QUEEN AND RONCESVALLES|(43.644334, -79.4180164)
KING AT BATHURST|(43.64390350000001, -79.4026703)
RONCESVALLES AND QUEEN|(43.644334, -79.4180164)
BATHURST AT ST. CLAIR|(43.6830782, -79.4182617)
BATHURST AT ST CLAIR|(43.6830782, -79.4182617)
RONCEVALLES AND HOWARD PARK|(43.6514994, -79.4510634)
BATHURST AND ST CLAIR|(43.6830782, -79.4182617)
RONCESVALLES AND HOWARD PARK|(43.6514994, -79.4510634)
DUNDAS WEST STATION|(43.6568393, -79.45333409999999)
QUEEN ST. E. AND RAINSFORD|(43.6684998, -79.3069136)
KINGSTON ROAD AND BEECH|(43.6802579, -79.290703)
NEVILLE LOOP|(43.6737566, -79.2815422)
COLLEGE AND MCCAUL|(43.6548028, -79.3916383)
ST. CLAIR WEST STN|(43.6841895, -79.4154172)
CNE LOOP|(nan, nan)
HUMBER LOOP|(43.631195, -79.47850799999999)
QUEEN AND CONNAUGHT|(nan, nan)
ST. CLAIR AND SPADINA|(43.6830444, -79.40935569999999)
GERARD AT HIGHFIELD|(nan, nan)
BATHURST AND KING|(43.64390350000001, -79.4026703)
QUEEN AND LOCKWOOD|(nan, nan)
BROADVIEW STATION|(43.6769104, -79.3581849)
ST. CLAIR AND BATHURST|(43.6830782, -79.4182617)
QUEEN AND RONCEVALLES|(43.644334, -79.4180164)
QUEEN AND RONCESVLLES|(43.644334, -79.4180164)
QUEEN AND KINGSTON ROAD|(43.7619783, -79.1946749)
ST CLAIR AND BATHURST|(43.6830782, -79.4182617)
LONG BRANCH AVENUE|(43.5927571, -79.533269)
HOWARD PARK AND RONCESVALLES|(43.6514994, -79.4510634)
LAKESHORE AND 5TH|(nan, nan)
LONG BRANCH|(40.30427780000001, -73.9923596)
LAKESHORE AND PARKLAWN|(43.6207608, -79.48301219999999)
WILSON YARD|(43.7390505, -79.4546455)
QUEEN AND CARLAW|(43.6616929, -79.34003299999999)
BATHURST AND FLEET|(43.6367945, -79.3998864)
ST. CLAIR STATION|(43.6874845, -79.3930467)
ROUTE|(nan, nan)
QUEEN AT SHAW|(43.6447019, -79.41627869999999)
LAKESHORE AND LONG BRANCH|(43.59438410000001, -79.5339748)
LAKESHORE AND SUPERIOR|(nan, nan)
BATHURSTY AND ST CLAIR|(43.6830782, -79.4182617)
RONCEVALLES AND QUEEN|(43.644334, -79.4180164)
BATHRUST AND ST CLAIR|(43.6830782, -79.4182617)
QUEEN AND BROADVIEW|(43.6588399, -79.35064469999999)
DUNDAS AND SACKVILLE|(43.6600861, -79.3630088)
LAKESHORE AND MIMICO|(43.6137022, -79.4893613)
GERRARD AND BROADVIEW|(43.6654831, -79.35263359999999)
QUEEN AND JAMESON.|(43.6404714, -79.4372735)
BATHURST AND DUNDAS|(43.6522958, -79.4060126)
COLLEGE AND EUCLID|(nan, nan)
DUNDAS WEST STATION TO BROADVIEW STATION.|(43.6568393, -79.45333409999999)
LAKESHORE AND LEGION|(nan, nan)
DUNDAS AND BROADVIEW|(43.6624664, -79.351366)
GERRARD AND WOODBINE|(43.6808057, -79.3107465)
BATHURST AND QUEEN|(43.6471969, -79.4039809)
COLLEGE AND BROCK|(nan, nan)
MAIN AND DANFORTHY|(43.6882358, -79.2980694)
BROADVIEW AND DUNDAS|(43.6624664, -79.351366)
RONCESVALLES AND MARION|(43.6410636, -79.447028)
ST. CLAIR AND OAKWOOD|(43.6794987, -79.4358172)
QUEENSWAY AND SUNNYSIDE|(43.638853, -79.4484657)
ST. CLAIR W AND GUNNS|(43.6718533, -79.4711359)
ST. CLAIR W AND OLD WESTON RD.|(43.6734439, -79.4629927)
SPADINA AND QUEEN|(43.6487579, -79.396276)
MAIN STN.|(43.6889948, -79.301919)
COLLEGE AND BEVERLEY|(43.6541883, -79.3939805)
COLLEGE AND SHERIDAN|(nan, nan)
ST. CLAIR W AND BATHURST|(43.6830782, -79.4182617)
DUNDAS WEST STN TO BROADVIEW STN|(43.6568393, -79.45333409999999)
KING AND BAY|(43.6466166, -79.37876109999999)
BATHURST AND CARR|(43.6489611, -79.4046729)
BATHURST AND BLOOR|(43.665132, -79.411208)
FLEET AND FORK YORK|(43.6364564, -79.40690219999999)
COLLEGE AND LANSDOWNE|(nan, nan)
BROADVIEW STN TO DUNDAS WEST STN|(43.6769104, -79.3581849)
KING AND QUEEN|(nan, nan)
QUEEN AND BAY|(43.6518897, -79.38173239999999)
DUNDAS WEST STATION TO CHURCH ST.|(43.6568393, -79.45333409999999)
BATHURST AND FRONT|(43.6407524, -79.4014179)
HARBORD AND BAY|(43.6611509, -79.4115721)
LANSDOWNE AND COLLEGE|(nan, nan)
WOLSELEY LOOP|(nan, nan)
BREMNER AND NAVY WHARF|(43.6408057, -79.39161)
SPADINA AND HARBORD|(43.6630939, -79.4020097)
SPADINA STN TO KING ST|(43.6671711, -79.40435339999999)
KING ROUTE|(nan, nan)
BROADVIEW AND GERRARD|(43.6654831, -79.35263359999999)
RONCESVALLES AND GALLEY|(43.6428251, -79.44770670000001)
KING AND SHERBORNE|(nan, nan)
MAIN ST. AND UPPER GERARD|(nan, nan)
GERRARD AND SUMACH|(43.66315549999999, -79.3614893)
RONCENVALLES YARD|(43.6463098, -79.4490457)
DUNDAS WEST STN.|(43.6568393, -79.45333409999999)
RUSSELL YARD.|(nan, nan)
BATHURST AT ULSTER|(43.6598108, -79.409058)
BATHURST AT ROBINSON|(43.649097, -79.404831)
QUEENS QUAY AND REESE|(43.871456, -79.053242)
KING AND DUFFERIN|(43.638954, -79.4273614)
DUNDAS ST. WEST AND BROCK ST.|(43.8798441, -78.9422032)
SPADINA AND COLLEGE|(43.6527581, -79.398087)
RONCESVALLES @ HARVARD AVE|(43.6401997, -79.4466908)
QUEEN AT RONCESVALLES|(43.6464617, -79.4435762)
RONCESVALLES YARD|(43.6463098, -79.4490457)
