stop|coordinates
Edna Ave / Dundas St West|(43.657274, -79.4526928)
Dundas St West / Bloor St West|(43.6566204, -79.4517061)
Dundas St West / Roncesvalles Ave East|(43.6538732, -79.451805)
Dundas St West / Howard Park Ave|(43.6521208, -79.4480955)
Dundas St West / Sorauren Ave|(43.6512012, -79.4452851)
Dundas St West / Sterling Rd|(43.65067759999999, -79.4430582)
College St / Lansdowne Ave|(43.6509771, -79.440017)
College St / Brock Ave|(43.6517999, -79.4363448)
College St / Dufferin St|(43.652555, -79.4325456)
College St / Rusholme Park Cres|(43.6529203, -79.4296335)
College St / Dovercourt Rd|(43.6536125, -79.4263938)
College St / Ossington Ave|(43.6543876, -79.4226798)
College St / Crawford St|(43.6551585, -79.4190145)
College St / Grace St|(43.6549526, -79.41565489999999)
College St / Euclid Ave|(43.6557161, -79.411386)
College St / Bathurst St|(43.6564647, -79.4077012)
College St / Borden St|(43.65696500000001, -79.4051588)
College St / Augusta Ave|(43.6573535, -79.40317089999999)
College St / Spadina Ave|(43.6579468, -79.4001475)
College St / Beverley St|(43.6587075, -79.3959215)
College St / McCaul St|(43.659209, -79.3934968)
College St / University Ave / Queen's Park Sta|(43.6598804, -79.3904768)
College St / Elizabeth St|(43.66051820000001, -79.38741689999999)
College St / Bay St|(43.6608355, -79.3858556)
College St / Yonge St / College Station|(43.6613247, -79.3830746)
Carlton St / Church St|(43.6619015, -79.3793625)
Carlton St / Jarvis St|(43.66242, -79.3767079)
Carlton St / Sherbourne St|(43.66319319999999, -79.37305549999999)
Carlton St / Ontario St|(43.6637248, -79.3705382)
Carlton St / Parliament St|(43.6644661, -79.3680473)
Parliament St / Gerrard St East|(43.66194780000001, -79.36702509999999)
Gerrard St East / Sackville St|(43.66259729999999, -79.36402369999999)
Gerrard St East / Sumach St|(43.66315549999999, -79.3614893)
Gerrard St East / River St|(43.6636944, -79.35923129999999)
Gerrard St East / Blackburn St|(43.6647928, -79.3553044)
Gerrard St East / Broadview Ave|(43.6654831, -79.35263359999999)
Gerrard St East / De Grassi St|(43.666362, -79.3485183)
Gerrard St East / Logan Ave|(43.6671084, -79.3451978)
Gerrard St East / Carlaw Ave|(43.66762260000001, -79.342759)
Gerrard St East / Pape Ave|(43.6681409, -79.34041189999999)
Gerrard St East / Marjory Ave|(43.66877969999999, -79.3375539)
Gerrard St East / Jones Ave|(43.6692221, -79.3355954)
Gerrard St East / Leslie St|(43.66981150000001, -79.33305519999999)
Gerrard St East / Alton Ave|(43.6703193, -79.3306769)
Gerrard St East / Greenwood Ave|(43.6709006, -79.32799810000002)
Gerrard St East / Woodfield Rd|(43.671821, -79.3239708)
Gerrard St East / Coxwell Ave|(43.6753569, -79.32028249999999)
Coxwell Ave / Gerrard St East|(43.6753569, -79.32028249999999)
Gerrard St East / Beaton Ave|(43.6761831, -79.3169419)
Gerrard St East / Bowmore Rd|(43.6780623, -79.31499149999999)
Gerrard St East / Kingsmount Park Rd|(43.6797686, -79.3126532)
Gerrard St East / Woodbine Ave|(43.6808057, -79.3107465)
Gerrard St East / Golfview Ave|(43.6818509, -79.3086661)
Gerrard St East / Glenmount Park Rd|(43.6826754, -79.30601089999999)
Gerrard St East / Norwood Rd|(43.6833834, -79.302855)
Gerrard St East / Main St|(43.68397179999999, -79.3001702)
Main St / Danforth Ave|(43.6881561, -79.3018044)
