|stop|coordinates
0|Lake Shore Blvd West / Thirty First St|(43.5952384, -79.5302928)
1|King St West / Strachan Ave|(43.6420487, -79.4119498)
2|Queen St East / Pape Ave|(43.6615867, -79.3376924)
3|Lake Shore Blvd West / Norris Cres|(43.6109568, -79.4900698)
4|Gerrard St East / Pape Ave|(43.6681409, -79.34041189999999)
5|College St / Crawford St|(43.6551585, -79.4190145)
6|Kingston Rd / Lee Ave|(43.6781508, -79.30115820000002)
7|The Queensway / Windermere Ave East|(43.6373075, -79.47000729999999)
8|Gunns Rd / Tarragona Blvd South|(43.6725465, -79.4715657)
9|Carlaw Ave / Gerrard St East North|(43.66762260000001, -79.342759)
10|St Clair Ave West / Christie St|(43.6816341, -79.4257045)
11|Bathurst St / Queen St West|(43.6471969, -79.4039809)
12|Queen St East / Brooklyn Ave|(43.6619921, -79.3358911)
13|Spadina Ave / Willcocks St|(43.6613272, -79.4012928)
14|King St West / Spadina Ave East|(43.64550450000001, -79.39492159999999)
15|Kingston Rd / Scarborough Rd|(43.6805346, -79.28712089999999)
16|Gerrard St East / Beaton Ave|(43.6761831, -79.3169419)
17|Gerrard St East / De Grassi St|(43.666362, -79.3485183)
18|Queen St East / Sackville St|(43.6562647, -79.361453)
19|Dundas St West / Roncesvalles Ave East|(43.6538732, -79.451805)
20|Carlton St / Sherbourne St|(43.66319319999999, -79.37305549999999)
21|College St / Borden St|(43.65696500000001, -79.4051588)
22|St Clair Ave West / Keele St / Weston Rd|(43.6724487, -79.4679364)
23|Roncesvalles Ave / Queen St West|(43.6391909, -79.4460936)
24|College St / University Ave / Queen's Park Sta|(43.6598804, -79.3904768)
25|Gerrard St East / Woodfield Rd|(43.671821, -79.3239708)
26|King St West / Wilson Park Rd|(43.636631, -79.4415691)
27|Kingston Rd / Main St|(43.6789004, -79.29801770000002)
28|Queen St West / Abell St|(43.6430858, -79.4243611)
29|Queen St West / Jameson Ave|(43.6404714, -79.4372735)
30|Spadina Ave / Nassau St South|(43.6558393, -79.3993082)
31|Gerrard St East / Golfview Ave|(43.6818509, -79.3086661)
32|Lake Shore Blvd West / Thirteenth St|(43.5993276, -79.51185009999999)
33|St Clair Ave West / Hounslow Heath Rd|(43.674133, -79.4599532)
34|Main Street Station|(43.6889948, -79.301919)
35|Carlton St / Ontario St|(43.6637248, -79.3705382)
36|Lake Shore Blvd West / Thirty Seventh St|(43.5934222, -79.5381821)
37|King St East / Church St West|(43.6499189, -79.3743915)
38|Spadina Station|(43.6671711, -79.40435339999999)
39|Dundas St West / Howard Park Ave|(43.6521208, -79.4480955)
40|2155 Lake Shore Blvd West|(43.626148, -79.47970600000001)
41|Spadina Ave / Harbord St South|(43.6630939, -79.4020097)
42|College St / Grace St|(43.6549526, -79.41565489999999)
43|Gerrard St East / Marjory Ave|(43.66877969999999, -79.3375539)
44|Church St / Queen St East|(43.6531733, -79.3757536)
45|Queen St East / Jarvis St|(43.653716, -79.3732461)
46|Lake Shore Blvd W / Colonel Samuel Smith Park Dr|(43.5991005, -79.51288840000001)
47|Lake Shore Blvd West / Twenty Second St|(43.5972324, -79.52131829999999)
48|Pape Ave / Bain Ave|(43.6729362, -79.3424024)
49|St Clair Ave West / Russell Hill Rd|(43.685275, -79.407826)
50|Gerrard St East / Blackburn St|(43.6647928, -79.3553044)
51|College St / Brock Ave|(43.6517999, -79.4363448)
52|King St East / Lower River St|(43.656868, -79.3561681)
53|Carlton St / Parliament St|(43.6644661, -79.3680473)
54|Roncesvalles Ave / Boustead Ave South|(43.6535524, -79.4517229)
55|College St / Spadina Ave|(43.6579468, -79.4001475)
56|Carlton St / Church St|(43.6619015, -79.3793625)
57|Roncesvalles Ave / High Park Blvd South|(43.6463098, -79.4490457)
58|Bathurst St / Robinson St|(43.6488203, -79.40462029999999)
59|Bathurst St / Dundas St W / Toronto Western Hosp|(43.6534492, -79.40547699999999)
60|Spadina Ave / Dundas St West South|(43.65291269999999, -79.39815469999999)
61|Queens Quay West / Dan Leckie Way East|(43.6366169, -79.39667659999999)
62|Dundas St West / Sorauren Ave|(43.6512012, -79.4452851)
63|Lake Shore Blvd West / Twenty Seventh St|(43.59644120000001, -79.5249365)
64|235 Carlaw Ave|(43.6633962, -79.3403069)
65|Queen St East / Woodbine Ave|(43.6687539, -79.3057895)
66|Gerrard St East / Glenmount Park Rd|(43.6826754, -79.30601089999999)
67|Queen St East / Leslie St|(43.6632538, -79.3302021)
